Day of outbreak,MCMC,Traced,Nishiura
0,0.7184473233189353,0.7184473233189352,0.7184473233189352
1,0.7223411326967942,0.7223411326967945,0.7190770879564314
2,0.7311610031264666,0.7311610031264665,0.7205764007985723
3,0.7448441626891406,0.7448441626891404,0.7231176175609508
4,0.7618832332230704,0.7618832332230704,0.7266914243790376
5,0.7806592692074018,0.7806592692074019,0.7312379464010472
6,0.7998877021617528,0.7998877021617528,0.7366778750414016
7,0.8187034261864922,0.8187034261864923,0.7429264121460583
8,0.8365890299549206,0.8365890299549207,0.749899302650894
9,0.8532716163277835,0.8532716163277838,0.7575151082646965
10,0.8686360806941239,0.8686360806941242,0.7656957062822805
11,0.8826637294091365,0.8826637294091364,0.7743659942428005
12,0.8953920808593541,0.8953920808593543,0.7834532959742956
13,0.9068895633619575,0.9068895633619574,0.7928867237799999
14,0.9172399519101978,0.9172399519101981,0.8025966298197513
15,0.9265329594371731,0.926532959437173,0.8125142169486477
16,0.9348586562292378,0.9348586562292375,0.8225713454607856
17,0.9423042528599078,0.942304252859908,0.8327005520559796
18,0.9489523362474833,0.948952336247483,0.8428352830019563
19,0.9548799951898558,0.9548799951898557,0.8529103309490256
20,0.9601584863233316,0.9601584863233312,0.8628624524930114
21,0.9648532239467614,0.9648532239467615,0.8726311311420701
22,0.5845344150167902,0.58453441501679,0.6337850873691259
23,0.6025746015266912,0.6025746015266911,0.640981675583569
24,0.62354506022119,0.6235450602211902,0.6487281317573323
25,0.6477122501373135,0.6477122501373134,0.6571732015426164
26,0.6740147717590103,0.6740147717590106,0.6663072858085228
27,0.7011683262891638,0.7011683262891639,0.6760760553852718
28,0.2767771696127978,0.48302276349016326,0.49314776872481525
29,0.3098021999783229,0.507969470646817,0.5013589233011015
30,0.08958413558338287,0.14278761556128144,0.3667639310069651
31,0.11078380360023507,0.16927417843624856,0.3743944391613255
32,0.14068060349670145,0.19993633945829797,0.3832274562248248
33,0.17426160017233144,0.23482332824809576,0.3933528387414551
34,0.06298394143337106,0.056817722309085474,0.29080017492118
35,0.026615316219531168,0.017701198070859615,0.21564553774992778
36,0.013217403894689051,0.0032874134148803236,0.16054473231711844
37,0.02062972665439743,0.0052870620690104436,0.16720324256213367
38,0.030918565755358726,0.008561335920815085,0.17505436929165336
39,0.04487210348179866,0.013730072230065496,0.18420102952977876
40,0.06353270787517955,0.021508870846683,0.19469893733379257
41,0.08758228561067398,0.032633815172674406,0.20658942696675436
42,0.11654385441948002,0.04776782559525898,0.2199063881448255
43,0.15156794543931207,0.06741220242205306,0.2346776750559145
44,0.18799700805459957,0.09184102745612394,0.2509238981948883
45,0.11305930251700078,0.07459391449161383,0.19301514304147308
46,0.14242761808727988,0.09773540119419524,0.20700209127172112
47,0.17558056489099744,0.12516586256727075,0.22233662596283127
48,0.21312826987612662,0.1570966818656052,0.2391094799324914
49,0.25524743555100976,0.1933305558859482,0.25735449830881385
50,0.2979277296871774,0.2333351894919612,0.27707568233869695
51,0.34441321619338794,0.27635033310828666,0.2982508209526558
52,0.3906237940673282,0.3215019258044979,0.3208322852145532
53,0.43796055486292396,0.36789368797313976,0.3447469025890004
54,0.48378255298663503,0.4146718823828165,0.36989586758920745
55,0.5280776840867702,0.46106731467066886,0.39615521715114105
56,0.5723944856320731,0.5064195581745506,0.42337716254928176
57,0.6124981381006444,0.5501876622081837,0.45139241012959064
58,0.6511572061432689,0.59195087760094,0.4800134773169936
59,0.6859667972776617,0.6314023689245813,0.5090389040162947
60,0.7188592809460734,0.6683383880681557,0.5382581714444773
61,0.7503762314605571,0.7026449078400036,0.5674570746917749
62,0.7773069306837771,0.7342832569299268,0.5964232567862336
63,0.8024772431283036,0.7632758781098837,0.6249516035638847
64,0.8247838418006327,0.7896929682898494,0.6528492194698046
65,0.8458684566476659,0.8136404618768838,0.6799397498876071
66,0.8638553158365563,0.835249588942706,0.7060668779768748
67,0.8804063872934085,0.8546680716964022,0.7310968940293896
68,0.8954599485204164,0.8720529077472394,0.7549203040912895
69,0.907903009402882,0.8875646163355173,0.7774525049741452
70,0.919310081187491,0.9013627840228395,0.7986336004991755
71,0.9296374184949641,0.9136027302932063,0.8184274674447641
72,0.938370638324088,0.9244331136622452,0.8368202000195087
73,0.9462242044662428,0.9339943093481157,0.8538180708998448
74,0.953115206775148,0.9424174059131405,0.8694451474717267
75,0.9593189965359767,0.9499917716684224,0.8838217332909545
76,0.964755458762258,0.9564692652709914,0.8968268478850578
77,0.9694244774278369,0.9621458808082384,0.9086151413878262
78,0.97336995308774,0.9671132639519846,0.9192553985688747
79,0.9768871366599119,0.9714540738722676,0.9288213328154858
80,0.979994637945085,0.9752425356506443,0.9373894526844746
81,0.9826705278720972,0.9785450417082829,0.9450372009557296
82,0.9849853360757245,0.9814207736864341,0.9518413832664633
83,0.9870259239537778,0.9839223236340088,0.9578768876849015
