Day of outbreak,Proportion of simulations matched
0,1.0
1,0.09819517272530882
2,0.005969276135729401
3,0.001447317288856308
4,0.00013197543805122428
5,3.2758454773729756e-05
6,1.1619761510414034e-05
7,7.799293365146828e-06
8,6.547742207531999e-06
9,6.100881365412683e-06
10,5.949695617469261e-06
11,5.897225254144623e-06
12,5.883332637187999e-06
13,5.881869371935865e-06
14,5.8804026122554865e-06
