Day of outbreak,MCMC,Traced,Nishiura,Enumerate,Simulation
0,0.7184473233189353,0.7184473233189352,0.7184473233189352,0.7184473233189352,0.7219
1,0.2846244737849049,0.28462447378490485,0.549964938313528,0.2846244737849049,0.2829
2,0.05764462645628777,0.020557087664613692,0.23593265063014748,0.057153337921132204,0.0517
3,0.15623515821869666,0.062451005909231964,0.24063831042694492,0.15585393333626302,0.1637
4,0.07043020902701869,0.0513121680125528,0.1389738475122314,0.06994773884679227,0.0684
5,0.17751123250086337,0.14990427761680217,0.18032124194093307,0.17651469006994175,0.1735
6,0.49685554972428597,0.45884714420645706,0.3273864021899994,0.49632575917281985,0.493
7,0.7572763433628442,0.732627990793093,0.5290408599773734,0.7564340998625664,0.758
8,0.8974312246351939,0.8867581521290202,0.7291568063725231,0.8974356444247639,0.9013
9,0.9600676147562316,0.9559696064739525,0.8709231057467363,0.9600558299354178,0.9641
10,0.9856703940280211,0.9838587644416885,0.9466759265751787,0.9856974804728568,0.9886
11,0.9951150005388584,0.9947080107503767,0.9798989971837856,0.9951301246469731,0.9965
12,0.9985388604957822,0.9985558692214813,0.9931427574784439,0.9985459835910916,0.9994
13,0.9995736695011379,0.9996370742243804,0.9977292591585687,0.9995746888435878,0.9998
14,0.9999384442339988,0.9999384442339986,0.9996141093320371,0.9999384442339985,1.0
