Day of outbreak,MCMC,Nishiura
78,0.00029537338633450007,0.00039497959510837236
79,0.0002975317128311815,0.00043560481819147494
80,0.0007307138563835883,0.0006646156057429474
81,0.0016495405774653578,0.0010069669207637552
82,0.003491758548282564,0.0015130603044880959
83,0.003199665954612984,0.0016180034953646321
84,0.00022442702870942836,0.0006353764902297213
85,4.693439276069206e-06,0.0001780329381145098
86,2.3690245048333998e-07,6.927930673253099e-05
87,4.529497883490239e-08,3.764690062577057e-05
88,2.3993808171879272e-08,2.8690116664394933e-05
89,7.01415962337381e-08,3.0739728304215315e-05
90,1.5087938579292592e-07,3.3287418564616006e-05
91,9.824428219381338e-07,5.0691340313568856e-05
92,5.54656951106642e-07,4.0189880127694016e-05
93,1.046696611654672e-06,4.468208230705383e-05
94,5.704190918673968e-06,6.960890007327333e-05
95,9.595384530691279e-06,7.829008153311163e-05
96,5.482512276694404e-06,6.349991765970277e-05
97,3.816187518995681e-06,5.167523357865636e-05
98,6.294887583151529e-06,5.873971375548004e-05
99,3.990453061404862e-06,4.813477048139124e-05
100,1.618581597568081e-05,7.670702864055679e-05
101,2.2804937883944838e-05,8.804379657249862e-05
102,8.123473397462876e-05,0.0001408609302558372
103,0.00012159384921443465,0.0001618167560982866
104,6.968281348324737e-05,0.000133341642962337
105,0.00017927964795729615,0.00021234642918392272
106,0.000522001041831446,0.00033706103918062174
107,0.001216994778759054,0.0005323256162799994
108,0.0012167014212365417,0.0005998304179920369
109,0.0027780415771222196,0.0009332597795811953
110,0.0026825906461808626,0.001033349004895809
111,0.0024696433458853734,0.0011327856469153207
112,0.0022831967846958143,0.001229279705298909
113,0.004517367333926406,0.0018381685643023024
114,0.003851646783877438,0.0019538921883684277
115,0.0002533890070017986,0.0007622608956834837
116,0.0006412191980339357,0.0011074127024835775
117,0.0013879515238896048,0.0015977989673424716
118,0.0010060291049982307,0.0016449656755734077
119,0.0024570192131241043,0.002341520759187947
120,0.0047462546384316046,0.003308409700062662
121,0.0034942919396832232,0.003330342026496955
122,0.007078507023393913,0.004629140772418123
123,0.00523991640049444,0.004585969108277231
124,0.009636489125811361,0.006269007767185794
125,0.01698016785206629,0.008497203744800005
126,0.011937720121674992,0.008202854631311624
127,0.02081836793686704,0.010929509983929121
128,0.03142947072826808,0.014442355119343362
129,0.04657316876763166,0.018919178732365125
130,0.06761611614225853,0.024557902454337605
131,0.09145893042421994,0.03157535444155099
132,0.12529431977406222,0.04020806665577161
133,0.16157561392490624,0.05069895075524502
134,0.1997668483246591,0.06325597940753849
135,0.2473173641858437,0.07811467426022084
136,0.2922519532538559,0.09545633086336787
137,0.34007742970271854,0.11543611431951391
138,0.38650889014891265,0.13812293308847548
139,0.4383018245866602,0.16355122605127195
140,0.48805972687260124,0.1916891703077221
141,0.5357861631844485,0.22239463601011547
142,0.5729010664874422,0.255439109265788
143,0.6166539937381271,0.2905653553480616
144,0.659328719944652,0.3274018667424041
145,0.6918844910410791,0.36561774879433273
146,0.7264877513761863,0.40471731838520586
147,0.756839427413696,0.4443317172731773
148,0.7834132802531854,0.48406472469738926
149,0.8122578411638124,0.5233024474304027
150,0.8335039751399513,0.5616896887091838
151,0.8518854414539107,0.5989225073781026
152,0.8706705204585112,0.6348705017114897
153,0.8881254095349852,0.6689181751494006
154,0.901756143637468,0.70113142695617
155,0.91465881129628,0.7312407910817215
156,0.9247642849028368,0.7592377317986377
157,0.9348069173797571,0.7850907019125303
158,0.9428123627324615,0.8088847722917246
159,0.9509480619826287,0.8308137685531285
160,0.9571304779957794,0.8507796691598103
161,0.9629295726256556,0.8687151357356827
162,0.9685870310600876,0.8847423845730987
163,0.9729155071568595,0.898993879998321
164,0.9763396613018505,0.9116072438388215
165,0.97946847088033,0.9228056878987384
166,0.9822376519621129,0.9326303167985853
167,0.9849755002595837,0.9414726255745741
168,0.9869737039440849,0.9491659857950449
169,0.9887360789411602,0.9558321674064487
