Day of outbreak,MCMC,Traced,Nishiura
0,0.7184473233189353,0.7184473233189352,0.7184473233189352
1,0.7223411326967942,0.7223411326967945,0.7190770879564314
2,0.7311610031264666,0.7311610031264665,0.7205764007985723
3,0.7448441626891406,0.7448441626891404,0.7231176175609508
4,0.12081139007680443,0.12081139007680446,0.522089508723944
5,0.14248458126946767,0.14248458126946761,0.5258164531013061
6,0.16916650312854534,0.16916650312854534,0.5308326917452736
7,0.200706792331906,0.200706792331906,0.5372231771741627
8,0.05969230339178583,0.06306952690722491,0.3915145585134334
9,0.021656606717317044,0.024555064815287686,0.2861675606110828
10,0.03142442211467084,0.03509565320070792,0.29227342180671795
11,0.014131201676684125,0.011623938836459987,0.21536542364301794
12,0.00241616655456446,0.0007639780290539185,0.11458832009485408
13,0.004356612455198103,0.0014925540968256238,0.11891650515254198
14,0.007661288929014356,0.002839958061521308,0.12429650076299624
15,0.004753880130425671,0.0024541229033346913,0.09400771966747487
16,0.008360627827613178,0.004566828107611238,0.09969415080823836
17,0.002090272967301017,0.0010079679314444374,0.05494892640600042
18,0.004015474941360352,0.0020316272858956785,0.059149141662923475
19,0.007384212657862621,0.0038899755888590296,0.06417139487147246
20,0.012344301545440587,0.007087097152362668,0.0701371858594474
21,0.008688273009637029,0.007228300682042424,0.055431323858308075
22,0.014872058966854902,0.012250857987559854,0.06136145617411954
23,0.02407542652711278,0.01983637680056327,0.06830393657740978
24,0.03679274012920872,0.030766028187234295,0.07639378384239189
25,0.011004066132030673,0.01168132425958161,0.04426756837401962
26,0.018006816378322608,0.018343828192147815,0.04991916338935871
27,0.0051389373932684,0.010156745732936958,0.029177070729955432
28,0.008823081898733594,0.015770231892745498,0.03321899127299819
29,0.014453306909836698,0.023940260509949417,0.03801699046955303
30,0.02269238490025247,0.03550015076715015,0.04370988803971124
31,0.01521566160218241,0.02847204055936485,0.03623521205395829
32,0.02479741988268811,0.04130874365214392,0.04194914420610048
33,0.006189937812873614,0.02373017253543657,0.02512996968599796
34,0.00422518402603017,0.008011344927122287,0.021025610831289322
35,0.007921527953465757,0.012735318859430883,0.024582197711154833
36,0.013366068135451017,0.01980969629494112,0.028848014017129796
37,0.008743822936598835,0.009868444675501074,0.02439511797096209
38,0.005659384880673182,0.005729696590589485,0.020687174089565726
39,0.000465754098338635,0.0005721143626799861,0.009081144961717623
40,0.0010976209824669495,0.0011757614231208754,0.01080359138295874
41,0.0008149287534625245,0.0007617290021100952,0.009282286598596744
42,0.0002202442245654407,0.00016929651678126713,0.005762895941999262
43,6.966391109576779e-05,9.899008238988428e-05,0.0036020958778377457
44,6.073578190243437e-05,0.0001276019087886596,0.0031593667809583477
45,0.00018122967415429658,0.0003149163996482764,0.003891144158826323
46,0.00047982157898378573,0.0007345354542305794,0.004832060824590726
47,0.0012254283717656666,0.00161141473473433,0.0060424263229237486
48,0.0009885600567569517,0.0006878564198067614,0.00545750412970369
49,0.0023198703174471423,0.001511328783322596,0.006891860964366659
50,0.004730714881012105,0.0031019488699103293,0.008731105804311252
51,0.008939498361260886,0.005959188233539889,0.011082324853621232
52,0.016032287209041377,0.01073902765161615,0.014073446942115285
53,0.02579650940032834,0.01821162580682944,0.017855764406659293
54,0.04103818977324078,0.029181607376310568,0.02260499450767838
55,0.06069927784397196,0.044387102202800253,0.028520941223140583
56,0.0447315389142459,0.0357997723470999,0.02573858964352004
57,0.0637879192107835,0.05160342064929738,0.032183841398121214
58,0.08681241980287911,0.07183421630735783,0.04003942802483873
59,0.11432218464737497,0.09697466216726264,0.04953428493653512
60,0.04308000338609455,0.05405849340471634,0.03143289716678541
61,0.057153807645097615,0.07140754127423705,0.0384430481363742
62,0.03780862819139924,0.05928186603003627,0.03360629684260686
63,0.05359227102848887,0.07759139824980263,0.04071599097629642
64,0.07257563196703357,0.10043748501161906,0.04911202211598189
65,0.0974996688972264,0.12826406787566172,0.0589611315539327
66,0.13023797442449675,0.16105965086849144,0.07041743462935268
67,0.16444049253495832,0.19841979446864474,0.0836206545303854
68,0.203692739562323,0.23964442503953856,0.09869061719134428
69,0.11775897652206437,0.08445777103397095,0.0831399021062539
70,0.14799620244739292,0.10903869208746696,0.09691532315726985
71,0.18530080572679355,0.13793353260472083,0.1123281637343142
72,0.22469480412285583,0.17129431096056214,0.12946683406424336
73,0.2656096311112111,0.2088399667193632,0.14838165095210365
74,0.311377544314662,0.24995489720210512,0.16909267419142257
75,0.35923915777459775,0.29396017535371055,0.191606962117329
76,0.406177235311098,0.33964505150876073,0.21584719035531513
77,0.45559107240234087,0.386247190864503,0.2417587016279866
78,0.49905956008722635,0.43292418824340423,0.26923778782874347
79,0.5434291334845955,0.47906002141410897,0.29817808954616154
80,0.5875630156787424,0.5237804467565043,0.32836133668760525
81,0.627558897087904,0.5667230740471597,0.3596285812360927
82,0.6664963747657607,0.6075164137177927,0.39176955695358034
