Day of outbreak,Proportion of simulations matched
0,1.0
1,0.8284317786430287
2,0.762660158633313
3,0.0025310464484989
4,0.0005918809324965715
5,0.0003000531394109897
6,0.0002260602428845504
7,0.00020137880848106047
8,0.0001926412320778397
9,0.00018951655445107203
10,0.00018830110468914379
11,0.00018791830732659844
12,0.00018770351284121026
13,0.0001876491822727142
