Day of outbreak,MCMC,Traced,Nishiura
0,0.7184473233189353,0.7184473233189352,0.7184473233189352
1,0.7223411326967942,0.7223411326967945,0.7190770879564314
2,0.7311610031264666,0.7311610031264665,0.7205764007985723
3,0.7448441626891406,0.7448441626891404,0.7231176175609508
4,0.7618832332230704,0.7618832332230704,0.7266914243790376
5,0.7806592692074018,0.7806592692074019,0.7312379464010472
6,0.7998877021617528,0.7998877021617528,0.7366778750414016
7,0.8187034261864922,0.8187034261864923,0.7429264121460583
8,0.8365890299549206,0.8365890299549207,0.749899302650894
9,0.8532716163277835,0.8532716163277838,0.7575151082646965
10,0.8686360806941239,0.8686360806941242,0.7656957062822805
11,0.8826637294091365,0.8826637294091364,0.7743659942428005
12,0.8953920808593541,0.8953920808593543,0.7834532959742956
13,0.9068895633619575,0.9068895633619574,0.7928867237799999
14,0.4078025245685826,0.40780252456858274,0.5766234003987987
15,0.4380230429867801,0.4380230429867802,0.5842603570466337
16,0.4701500582357339,0.4701500582357339,0.5927254995121719
17,0.5045149924068528,0.5045149924068527,0.6021404393444085
18,0.5403968536828481,0.5403968536828478,0.6124811723216008
19,0.5767860285148457,0.5767860285148455,0.623680398867403
20,0.2642392523829612,0.35121831160256656,0.45668224659036477
21,0.29977894306331054,0.3834223760489657,0.46617819054007675
22,0.33545879246588306,0.4178505514560431,0.4766834452658676
23,0.379704791980556,0.45467341766578495,0.4882816513226516
24,0.15731606744443735,0.16202752096322745,0.3599016805700895
25,0.18874251112298077,0.19219937857361152,0.37004227903973946
26,0.22732214254722377,0.2260176617486886,0.3813250187850362
27,0.09030441167596076,0.17283978580418077,0.28294215212031865
28,0.11502532699139202,0.20282829877521513,0.29304227841484964
29,0.14545810725484537,0.23658952020738108,0.30436066365360426
30,0.006523715339058362,0.03307840434495749,0.11754654112346045
31,0.003546222514374618,0.022756736822329704,0.08839057116359422
32,0.006252912600591993,0.031524248384950444,0.09311151215740299
33,0.003536612674448197,0.006087230912300863,0.07096653368373343
34,0.006598960514522165,0.009499831263039046,0.07586376119810424
35,0.011464749059487309,0.014833409674758028,0.08169049990368361
36,0.019287365443265918,0.022822912548805606,0.08855097576924262
37,0.03063234714602074,0.034225555622550995,0.09653918576703643
38,0.046730212320567246,0.04972239717346951,0.10575078058781331
39,0.06838526509066842,0.06982226842218382,0.11628421423879527
40,0.09345596375540283,0.09479244530699597,0.12823947188235918
41,0.12470404143572282,0.12462615679269078,0.1417153368125585
42,0.07734140773274621,0.10551348594589255,0.11265658219856772
43,0.04942773974100315,0.0555526686912981,0.08968228615306241
44,0.031652206808706534,0.032732996593225414,0.07153115315790501
45,0.04425026116342696,0.0453549331630734,0.07963032202547092
46,0.06167326519867568,0.06185096831897737,0.08888569717392567
47,0.08331144039259775,0.08289833313973732,0.09944189701702864
48,0.050038911374527616,0.022621366549653733,0.08005041488439607
49,0.029448995955118035,0.0184674540181403,0.06454315986624062
50,0.016875852090692377,0.015704533770078903,0.05214461966397266
51,0.025992540962707294,0.02350460195190746,0.05879610389064861
52,0.03888856701773226,0.03443702196528547,0.0664661321195167
53,0.007622016717740735,0.004246127642205717,0.038863018062492594
54,0.013145363753267166,0.006908347430764268,0.0441564822804469
55,0.007212353898396037,0.00790506692207751,0.036148092831475354
56,0.012691696721045857,0.012617041997056275,0.04132898783758166
57,0.007276336933318824,0.012931228198355921,0.03404825457190511
58,0.0004997229742084604,0.000942768067117828,0.014524763347766133
59,0.001094352444102071,0.001813860853407791,0.016797020801390283
60,0.0023102632118489628,0.0033824719075256147,0.01953429740195587
61,0.001644297359343623,0.004357636789781435,0.016410654982840403
62,0.00340182281599186,0.007597673464300474,0.019292657064534133
63,0.0024983661994949086,0.005323625782579917,0.016369528253517573
64,0.004837255692531354,0.009192819054935963,0.01941982483756197
65,0.009030984146648604,0.015219962985057416,0.023123921972438694
66,0.006442081322896961,0.011944062986647968,0.019837320116040426
67,0.011229346523197606,0.019113209479316356,0.02374732879703638
68,0.01932335670168733,0.029404805401215227,0.028478029666435214
69,0.013431832323491452,0.02422705121948195,0.02455847994773459
70,0.009827465330884085,0.014981582667704335,0.02119498275341542
71,0.016174555643847163,0.023013123688007273,0.025485619623578277
72,0.01147198157041577,0.004325111827613249,0.022029592622395483
73,0.018300141159470307,0.006969845007172857,0.026525454088312646
74,0.02914276165749935,0.011214675155138533,0.031944702504709065
75,0.04349794453850738,0.017773661708679687,0.038454051600608406
76,0.0629485678436942,0.027416579503571428,0.04621710477542262
77,0.08716669935095868,0.040898063189482116,0.055414488021489294
78,0.11781037477411166,0.05883921252670228,0.06622556350281955
79,0.15151261133821897,0.08164398561272684,0.07882576498637771
80,0.19128936598643492,0.10944540834526675,0.0933792064635303
81,0.2350101234214967,0.14209095420650414,0.11003035408343197
82,0.15512071260537716,0.11247296685559575,0.09260443951738696
83,0.18835770654167652,0.14118960205569345,0.10789952389647563
